2025-01-01,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-01,To pocket EUR Salvadanaio from EUR,-0.5,INVESTIMENTI,
2025-01-01,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-01,Amazon,-13.99,ECOMMERCE,
2025-01-02,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-02,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-01,Rifugio Cascina Miera,-70.0,LOCALI&DELIVERY,
2025-01-02,To pocket EUR Salvadanaio from EUR,-0.19,INVESTIMENTI,
2025-01-02,Pam Panorama,-1.81,FOOD,
2025-01-01,Tabaccheria,-7.5,FUMO,
2025-01-02,Lavasecco Delfino Bia.,-18.0,GENERIC_EXPENSE,
2025-01-04,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-01-04,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-04,To pocket EUR Salvadanaio from EUR,-0.1,INVESTIMENTI,
2025-01-04,Amazon,-2.99,ECOMMERCE,
2025-01-04,Ayo,-36.9,GENERIC_EXPENSE,
2025-01-05,To pocket EUR Salvadanaio from EUR,-0.1,INVESTIMENTI,
2025-01-06,To pocket EUR Salvadanaio from EUR,-0.47,INVESTIMENTI,
2025-01-05,Mercato Centrale,-2.9,LOCALI&DELIVERY,
2025-01-02,Amazon,-209.99,ECOMMERCE,
2025-01-07,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-06,Pam Panorama,-16.53,FOOD,
2025-01-07,Amazon,-2.99,ECOMMERCE,
2025-01-08,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-09,To pocket EUR Salvadanaio from EUR,-0.69,INVESTIMENTI,
2025-01-08,Amazon,-2.99,ECOMMERCE,
2025-01-09,Amazon,-9.31,ECOMMERCE,
2025-01-10,To pocket EUR Salvadanaio from EUR,-0.98,INVESTIMENTI,
2025-01-11,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-01-10,Pam Panorama,-8.02,FOOD,
2025-01-11,To pocket EUR Salvadanaio from EUR,-0.11,INVESTIMENTI,
2025-01-11,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-12,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-12,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-12,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-11,Oratorio,-25.0,GENERIC_EXPENSE,
2025-01-12,Sita Vinc,-25.0,GENERIC_EXPENSE,
2025-01-11,Pam Panorama,-15.89,FOOD,
2025-01-12,Feed Srls,-14.0,GENERIC_EXPENSE,
2025-01-12,Feed Srls,-14.0,GENERIC_EXPENSE,
2025-01-13,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-13,Amazon,-2.99,ECOMMERCE,
2025-01-17,To pocket EUR Salvadanaio from EUR,-0.2,INVESTIMENTI,
2025-01-17,To pocket EUR Salvadanaio from EUR,-0.28,INVESTIMENTI,
2025-01-17,To pocket EUR Salvadanaio from EUR,-0.12,INVESTIMENTI,
2025-01-18,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-01-17,Pam Panorama,-9.72,FOOD,
2025-01-17,Tabaccheria,-11.8,FUMO,
2025-01-18,To pocket EUR Salvadanaio from EUR,-0.07,INVESTIMENTI,
2025-01-18,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-19,To pocket EUR Salvadanaio from EUR,-0.66,INVESTIMENTI,
2025-01-17,Amazon,-18.88,ECOMMERCE,
2025-01-19,Cooltra,-4.34,MOVIMENTO,
2025-01-19,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-18,The 1870 Huntsman Pub,-60.0,LOCALI&DELIVERY,
2025-01-19,To pocket EUR Salvadanaio from EUR,-0.38,INVESTIMENTI,
2025-01-19,To pocket EUR Salvadanaio from EUR,-0.1,INVESTIMENTI,
2025-01-19,To pocket EUR Salvadanaio from EUR,-0.24,INVESTIMENTI,
2025-01-19,Amazon,-2.99,ECOMMERCE,
2025-01-18,ALDI,-13.93,FOOD,
2025-01-19,Donbury House,-26.62,LOCALI&DELIVERY,
2025-01-19,La Rinascente,-29.9,HOBBY&SHOPPING,
2025-01-19,Pam Panorama,-7.76,FOOD,
2025-01-24,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-25,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-01-25,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-25,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-25,Payment from PALLOMO MATTEO,1000.0,GIROCONTI,
2025-01-24,Carrefour,-18.0,FOOD,
2025-01-25,To pocket EUR Salvadanaio from EUR,-0.24,INVESTIMENTI,
2025-01-25,Amazon,-5.99,ECOMMERCE,
2025-01-25,Amazon,-0.99,ECOMMERCE,
2025-01-26,To pocket EUR Salvadanaio from EUR,-0.25,INVESTIMENTI,
2025-01-26,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-01-26,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-26,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-26,Il Mulo,-24.0,LOCALI&DELIVERY,
2025-01-26,La Casa de las Carcasas,-9.99,GENERIC_EXPENSE,
2025-01-26,Pam Panorama,-4.75,FOOD,
2025-01-25,Pam Panorama,-45.76,FOOD,
2025-01-26,Intimissimi,-20.0,HOBBY&SHOPPING,
2025-01-28,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-01-28,Angelo Parrucchiere,-15.0,CURAPERSONALE,
2025-02-01,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-02-01,To pocket EUR Salvadanaio from EUR,-0.8,INVESTIMENTI,
2025-02-01,To pocket EUR Salvadanaio from EUR,-0.04,INVESTIMENTI,
2025-02-01,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-02-01,To pocket EUR Salvadanaio from EUR,-0.5,INVESTIMENTI,
2025-02-01,Amazon,-16.2,ECOMMERCE,
2025-02-01,El Centenario,-32.5,LOCALI&DELIVERY,
2025-02-01,Amazon,-12.99,ECOMMERCE,
2025-02-02,To pocket EUR Salvadanaio from EUR,-0.05,INVESTIMENTI,
2025-02-01,ALDI,-5.96,FOOD,
2025-02-02,Pam Panorama,-48.95,FOOD,
2025-02-03,To pocket EUR Salvadanaio from EUR,-0.6,INVESTIMENTI,
2025-02-03,Rockburger,-40.4,LOCALI&DELIVERY,
2025-02-04,Transfer from NOEMI BIANCO,15.0,PAGAMENTI_RICEVUTI,
2025-02-04,To pocket EUR Salvadanaio from EUR,-0.64,INVESTIMENTI,
2025-02-04,Ok Market Millesimo,-6.36,FOOD,
2025-02-05,To pocket EUR Salvadanaio from EUR,-0.11,INVESTIMENTI,
2025-02-05,To pocket EUR Salvadanaio from EUR,-0.5,INVESTIMENTI,
2025-02-05,Onestmarket,-5.89,GENERIC_EXPENSE,
2025-02-06,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-05,Legou Mercatone,-1.5,GENERIC_EXPENSE,
2025-02-06,To pocket EUR Salvadanaio from EUR,-0.6,INVESTIMENTI,
2025-02-06,Sushi Time,-59.4,LOCALI&DELIVERY,
2025-02-06,Farmacia San Nazaro,-13.0,CURAPERSONALE,
2025-02-07,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-08,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-02-08,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-07,Pantarei Ristorante,-25.0,LOCALI&DELIVERY,
2025-02-08,To pocket EUR Salvadanaio from EUR,-0.71,INVESTIMENTI,
2025-02-08,Pasticceria Pastorino,-21.0,LOCALI&DELIVERY,
2025-02-09,To pocket EUR Salvadanaio from EUR,-0.33,INVESTIMENTI,
2025-02-10,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-02-10,To pocket EUR Salvadanaio from EUR,-0.3,INVESTIMENTI,
2025-02-09,Pam Panorama,-31.67,FOOD,
2025-02-08,Eni,-45.0,MOVIMENTO,
2025-02-10,Amazon,-11.99,ECOMMERCE,
2025-02-10,Tabaccheria di Martorana Barbara,-7.7,FUMO,
2025-02-12,To pocket EUR Salvadanaio from EUR,-0.75,INVESTIMENTI,
2025-02-12,To pocket EUR Salvadanaio from EUR,-0.03,INVESTIMENTI,
2025-02-12,To pocket EUR Salvadanaio from EUR,-0.39,INVESTIMENTI,
2025-02-12,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-02-12,To pocket EUR Salvadanaio from EUR,-0.5,INVESTIMENTI,
2025-02-12,Payment from PALLOMO MATTEO,1500.0,GIROCONTI,
2025-02-12,Amazon,-38.97,ECOMMERCE,
2025-02-12,EasyJet,-282.61,EVENTI&VIAGGI,
2025-02-12,Milan Airports Shop,-69.99,GENERIC_EXPENSE,
2025-02-12,Tabaccheria,-3.5,FUMO,
2025-02-12,Www.softsolutions,-17.25,GENERIC_EXPENSE,
2025-02-13,To pocket EUR Salvadanaio from EUR,-0.01,INVESTIMENTI,
2025-02-14,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-14,To pocket EUR Salvadanaio from EUR,-0.05,INVESTIMENTI,
2025-02-15,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-02-13,Amazon,-2.99,ECOMMERCE,
2025-02-14,Pam Panorama,-35.95,FOOD,
2025-02-15,To pocket EUR Salvadanaio from EUR,-0.36,INVESTIMENTI,
2025-02-15,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-15,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-14,Pila Snowland,-58.0,HOBBY&SHOPPING,
2025-02-16,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-16,To pocket EUR Salvadanaio from EUR,-0.25,INVESTIMENTI,
2025-02-15,Punto Simply,-9.64,GENERIC_EXPENSE,
2025-02-16,Bonade' Silvana,-6.0,GENERIC_EXPENSE,
2025-02-15,Celebrity Di Arvat Pao,-42.0,GENERIC_EXPENSE,
2025-02-16,Pam Panorama,-35.75,FOOD,
2025-02-15,B63,-14.0,GENERIC_EXPENSE,
2025-02-19,To pocket EUR Salvadanaio from EUR,-0.96,INVESTIMENTI,
2025-02-19,Carrefour,-7.04,FOOD,
2025-02-21,To pocket EUR Salvadanaio from EUR,-0.67,INVESTIMENTI,
2025-02-21,To pocket EUR Salvadanaio from EUR,-0.6,INVESTIMENTI,
2025-02-21,To pocket EUR Salvadanaio from EUR,-0.44,INVESTIMENTI,
2025-02-21,To pocket EUR Salvadanaio from EUR,-0.9,INVESTIMENTI,
2025-02-21,To pocket EUR Salvadanaio from EUR,-0.3,INVESTIMENTI,
2025-02-22,To pocket EUR Salvadanaio from EUR,-25.0,INVESTIMENTI,
2025-02-21,Worldpay,-697.4,GENERIC_EXPENSE,
2025-02-21,Cooltra,-3.1,MOVIMENTO,
2025-02-21,Esselunga,-19.56,FOOD,
2025-02-21,Pam Panorama,-42.33,FOOD,
2025-02-21,Tabaccheria,-7.7,FUMO,
2025-02-22,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
2025-02-22,To pocket EUR Salvadanaio from EUR,-0.52,INVESTIMENTI,
2025-02-23,To pocket EUR Salvadanaio from EUR,-1.0,INVESTIMENTI,
