,Type,Date,Amount,Description,Labels
1543,expense,2025-10-24,-20.0,To Instant Access Savings,['Investimenti&Risparmi']
1544,expense,2025-10-24,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1545,expense,2025-10-24,-2.82,To Instant Access Savings,['Investimenti&Risparmi']
1546,expense,2025-10-24,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1547,expense,2025-10-24,-27.0,The Vaping Company,['Fumo']
1548,expense,2025-10-24,-11.06,Pam Panorama,['SpesaCasa']
1549,expense,2025-10-25,-20.0,To Robo portfolio,['Investimenti&Risparmi']
1550,expense,2025-10-24,-21.0,Leonardo Da Vinci,['Generic']
1551,expense,2025-10-25,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1552,expense,2025-10-25,-2.99,Bird,['Movimento']
1553,expense,2025-10-26,-0.33,To Instant Access Savings,['Investimenti&Risparmi']
1554,expense,2025-10-26,-22.89,Glovo,['Ristoranti&Delivery']
1555,expense,2025-10-28,-0.05,To Robo portfolio,['Investimenti&Risparmi']
1556,expense,2025-10-28,-5.0,To Robo portfolio,['Investimenti&Risparmi']
1557,expense,2025-10-28,-2.99,Bird,['Movimento']
1558,expense,2025-10-28,-37.0,Dazero,['Generic']
1559,expense,2025-10-30,-0.05,To Robo portfolio,['Investimenti&Risparmi']
1560,expense,2025-10-30,-6.99,Amazon Kindle,['AcquistiOnline']
1561,income,2025-10-31,2000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
1562,income,2025-10-31,2000.0,Payment from PALLOMO MATTEO,"['Ricevuti', 'Giroconto']"
1563,expense,2025-10-31,-2000.0,To Robo portfolio,['Investimenti&Risparmi']
